This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 9/8/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
752.92,+19.35,"20,039,825",740.00,760.20,739.26

10 SEP 21  (3)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0121,.17,.31,815 / 820,3.95,5.85,-.0070,,
,,.0094,.11,.24,820 / 825,3.75,5.90,-.0093,,
,,.0081,.09,.21,825 / 830,3.70,6.00,-.0080,,
,,.0054,.02,.16,830 / 835,3.65,5.90,-.0107,,
,,.0064,.05,.19,835 / 840,3.90,6.20,.0004,,
,,.0046,.02,.14,840 / 845,3.45,6.35,-.0053,,
,,.0040,-.01,.15,845 / 850,3.50,6.10,-.0093,,
,,.0036,-.01,.14,850 / 855,3.80,6.25,.0001,,
,,.0027,-.01,.10,855 / 860,3.50,6.50,-.0008,,
,,.0026,-.01,.10,860 / 865,3.40,6.45,-.0038,,
,,.0018,-.02,.08,865 / 870,3.45,6.45,-.0027,,
,,.0020,-.01,.08,870 / 875,3.45,6.55,-.0006,,
,,.0013,-.02,.06,875 / 880,3.40,6.50,-.0025,,
,,.0016,-.01,.07,880 / 885,3.45,6.45,-.0025,,
,,.0010,-.02,.05,885 / 890,3.50,6.60,.0016,,
,,.0009,-.02,.05,890 / 895,3.40,6.60,-.0004,,
,,.0013,-.01,.06,895 / 900,3.35,6.55,-.0022,,
,,.0004,-.03,.04,900 / 905,3.40,6.60,-.0003,,
,,.0008,-.02,.05,905 / 910,3.40,6.55,-.0012,,
