This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 5/4/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
684.90,-24.54,"27,043,143",703.80,706.00,680.50

7 MAY 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0023,41.35,58.35,300 / 350,.03,.15,-.0017,,
,,.0045,41.30,58.20,350 / 400,.12,.32,-.0041,,
,,-.0009,16.95,33.25,400 / 425,.03,.28,-.0031,,
,,.0092,16.35,32.60,425 / 450,.14,.49,-.0058,,
,,.0070,16.25,33.05,450 / 475,.06,.61,-.0068,,
,,.0270,16.15,30.00,475 / 500,.11,.55,-.0078,,
,,-.0024,18.85,32.60,500 / 525,.55,1.04,-.0158,,
,,.0156,16.70,32.10,525 / 550,.67,1.25,-.0203,,
,,.0384,15.65,30.15,550 / 575,1.45,1.85,-.0326,,
,,.0174,1.85,16.30,575 / 585,.75,1.15,-.0177,,
,,.0097,-2.50,11.45,585 / 590,.30,1.05,-.0113,,
,,.0107,-2.40,11.20,590 / 595,.05,1.15,-.0107,,
,,.0115,-2.25,10.95,595 / 600,-.20,.90,-.0085,,
,,.0122,-2.10,10.70,600 / 605,.45,1.60,-.0153,,
,,.0134,-2.00,10.40,605 / 610,0,1.25,-.0118,,
,,.0053,.25,10.10,610 / 615,.35,1.45,-.0146,,
,,.0240,-1.65,7.70,615 / 620,.50,1.65,-.0162,,
,,.0161,-1.50,9.45,620 / 625,.30,1.50,-.0151,,
,,.0169,-1.35,9.15,625 / 630,.60,1.90,-.0179,,
,,.0179,-1.20,8.80,630 / 635,.40,1.60,-.0166,,
,,.0133,.95,8.40,635 / 640,.90,1.65,-.0187,,
,,.0208,.95,6.05,640 / 645,.50,1.75,-.0184,,
,,.0285,-.75,4.20,645 / 650,1.10,2.45,-.0219,,
,,.0150,2.65,7.40,650 / 655,.60,2.05,-.0203,,
,,.0248,-.40,5.40,655 / 660,1.40,2.75,-.0233,,
,,.0234,.40,5.20,660 / 665,.75,2.25,-.0220,,
,,.0227,2.35,4.25,665 / 670,1.25,3.10,-.0239,,
,,.0237,2.30,3.50,670 / 675,1.00,2.90,-.0239,,
,,.0242,2.20,3.15,675 / 680,1.05,3.45,-.0245,,
,,.0245,2.50,3.10,680 / 685,1.15,3.60,-.0248,,
,,.0245,2.05,2.70,685 / 690,1.30,3.70,-.0250,,
,,.0247,1.95,2.80,690 / 695,1.10,3.90,-.0254,,
,,.0247,1.90,2.65,695 / 700,.85,4.40,-.0255,,
,,.0244,1.70,2.45,700 / 705,.85,4.85,-.0252,,
,,.0241,1.50,2.40,705 / 710,1.40,5.10,-.0237,,
,,.0234,1.35,2.20,710 / 715,.85,5.25,-.0248,,
,,.0234,1.35,2.15,715 / 720,.35,5.65,-.0257,,
,,.0227,1.20,2.00,720 / 725,1.30,5.90,-.0220,,
,,.0219,1.10,1.85,725 / 730,.80,5.65,-.0250,,
,,.0208,.95,1.70,730 / 735,.75,6.90,-.0203,,
,,.0207,.95,1.65,735 / 740,2.55,7.10,-.0107,,
,,.0194,.85,1.45,740 / 745,.25,6.95,-.0218,,
,,.0184,.75,1.35,745 / 750,-1.75,9.60,-.0188,,
,,.0176,.70,1.25,750 / 755,-1.90,10.00,-.0174,,
,,.0165,.60,1.15,755 / 760,-2.05,9.75,-.0201,,
,,.0153,.45,1.10,760 / 765,-1.60,10.00,-.0159,,
,,.0129,.15,1.05,765 / 770,-1.75,10.90,-.0106,,
,,.0134,.10,1.20,770 / 775,-2.50,11.20,-.0136,,
,,.0150,.35,1.15,775 / 780,-2.60,11.40,-.0128,,
,,.0108,.20,.75,780 / 785,-2.70,11.65,-.0117,,
,,.0116,.25,.80,785 / 790,-2.85,11.90,-.0108,,
,,.0078,-.05,.65,790 / 795,-2.95,12.10,-.0100,,
,,.0098,.15,.70,795 / 800,-3.05,12.30,-.0090,,
,,.0094,.25,.55,800 / 805,-3.15,12.45,-.0085,,
,,.0071,.05,.50,805 / 810,-3.20,12.60,-.0076,,
,,.0081,.15,.51,810 / 815,-3.25,12.70,-.0071,,
,,.0037,-.13,.35,815 / 820,-3.30,12.80,-.0065,,
,,.0055,-.15,.56,820 / 825,-3.35,12.95,-.0055,,
,,.0051,-.14,.52,825 / 830,-3.25,12.75,-.0065,,
,,.0051,-.14,.52,830 / 835,-3.20,12.95,-.0038,,
,,.0043,-.18,.49,835 / 840,-3.30,13.20,-.0021,,
,,.0036,-.19,.44,840 / 845,-3.20,13.05,-.0025,,
,,.0042,-.08,.39,845 / 850,-3.50,13.00,-.0063,,
,,.0021,-.15,.27,850 / 855,-3.55,13.30,-.0036,,
,,.0031,-.15,.37,855 / 860,-3.45,13.30,-.0024,,
,,.0028,-.18,.37,860 / 865,-3.45,13.30,-.0023,,
,,.0023,-.19,.34,865 / 870,-3.55,13.35,-.0029,,
,,.0019,-.18,.30,870 / 875,-3.50,13.35,-.0023,,
,,.0029,-.10,.31,875 / 880,-3.45,13.35,-.0016,,
,,.0011,-.19,.25,880 / 885,-3.45,13.35,-.0016,,
,,.0017,-.20,.31,885 / 890,-3.45,13.35,-.0016,,
,,.0015,-.20,.30,890 / 895,-3.45,13.40,-.0009,,
,,.0019,-.15,.28,895 / 900,-3.50,13.35,-.0022,,
,,.0002,-.20,.19,900 / 905,-3.45,13.45,-.0003,,
,,.0015,-.17,.27,905 / 910,-3.55,13.40,-.0021,,
,,.0007,-.20,.24,910 / 915,-3.45,13.40,-.0009,,
,,.0010,-.18,.24,915 / 920,-3.45,13.40,-.0008,,
,,.0009,-.18,.24,920 / 925,-3.45,13.50,.0004,,
