This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 4/6/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
691.05,+29.30,"41,842,767",707.71,708.16,684.70

9 APR 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0089,.05,3.20,645 / 647.5,-.15,1.50,-.0082,,
,,.0086,.10,3.35,647.5 / 650,.15,1.50,-.0088,,
,,.0089,.05,3.20,650 / 652.5,-.10,2.00,-.0093,,
,,.0090,.05,3.15,652.5 / 655,-.30,2.20,-.0093,,
,,.0091,0,3.20,655 / 657.5,-.40,2.10,-.0090,,
,,.0094,-.05,3.05,657.5 / 660,-.30,2.25,-.0094,,
,,.0091,.10,3.15,660 / 662.5,-.35,2.20,-.0093,,
,,.0095,-.05,3.00,662.5 / 665,-.25,2.30,-.0095,,
,,.0095,0,3.00,665 / 667.5,-.25,2.30,-.0096,,
,,.0095,.05,2.90,667.5 / 670,-.25,2.30,-.0096,,
,,.0096,.05,2.85,670 / 672.5,-.20,2.35,-.0097,,
,,.0095,.45,2.75,672.5 / 675,-.25,2.20,-.0096,,
,,.0099,.05,2.35,675 / 677.5,.05,2.35,-.0099,,
,,.0098,-.10,2.70,677.5 / 680,-.10,2.00,-.0098,,
,,.0098,.05,2.75,680 / 682.5,.25,2.50,-.0099,,
,,.0099,-.05,2.55,682.5 / 685,-.15,2.30,-.0099,,
,,.0099,.10,2.60,685 / 687.5,.10,2.40,-.0099,,
,,.0100,0,2.55,687.5 / 690,.10,2.45,-.0099,,
,,.0099,0,2.40,690 / 692.5,-.05,2.45,-.0100,,
,,.0101,.10,2.50,692.5 / 695,.05,2.60,-.0100,,
,,.0201,1.20,3.60,695 / 700,1.35,3.65,-.0202,,
,,.0199,1.05,3.40,700 / 705,1.65,3.70,-.0202,,
,,.0197,.85,3.30,705 / 710,1.85,4.35,-.0193,,
